"Terminal","6/12/2017 - 7:30","12/06/2017 11:51:59","12/06/2017 15:58:54","12/06/2017 16:27:41","12/06/2017 19:30:01","12/07/2017 01:30:01","12/07/2017 07:30:01","12/07/2017 13:30:01","12/07/2017 19:30:01","12/08/2017 01:30:01","12/08/2017 07:30:00","12/08/2017 15:02:38","12/08/2017 15:09:34","12/08/2017 19:30:02","12/09/2017 01:30:01","12/09/2017 07:30:01","12/09/2017 13:30:01","12/09/2017 19:30:01","12/10/2017 01:30:01","12/10/2017 07:30:01","12/10/2017 13:30:01","12/10/2017 19:30:01","12/11/2017 01:30:01","12/11/2017 07:30:01","12/11/2017 13:30:01","12/11/2017 19:30:01","12/12/2017 01:30:01","12/12/2017 07:30:01","12/12/2017 13:30:01","12/12/2017 19:30:01","12/13/2017 01:30:01","12/13/2017 07:30:01","12/13/2017 10:42:53","12/13/2017 13:30:02","12/13/2017 19:30:02","12/14/2017 01:30:01","12/14/2017 07:30:01","12/14/2017 13:30:04","12/14/2017 19:30:01","12/15/2017 01:30:01","12/15/2017 07:30:01","12/15/2017 13:30:04","12/15/2017 19:30:01","12/16/2017 01:30:01","12/16/2017 07:30:01","12/16/2017 13:30:01","12/16/2017 19:30:01","12/17/2017 01:30:01","12/17/2017 07:30:01","12/17/2017 13:30:01","12/17/2017 19:30:03","12/18/2017 01:30:01","12/18/2017 07:30:01","12/18/2017 16:44:50","12/18/2017 19:30:01","12/19/2017 01:30:01","12/19/2017 07:30:01","12/19/2017 13:30:02","12/19/2017 19:30:02","12/20/2017 01:30:01","12/20/2017 07:30:01","12/20/2017 19:30:01","12/21/2017 01:30:01","12/21/2017 07:30:01","12/21/2017 13:30:01","12/21/2017 19:30:01","12/22/2017 01:30:01","12/22/2017 07:30:02","12/22/2017 13:30:01","12/22/2017 19:30:01","12/23/2017 01:30:01","12/23/2017 07:30:01","12/23/2017 13:30:01","12/23/2017 19:30:01","12/24/2017 01:30:01","12/24/2017 07:30:01","12/24/2017 13:30:01","12/24/2017 19:30:01","12/25/2017 01:30:01","12/25/2017 07:30:01","12/25/2017 13:30:01","12/25/2017 19:30:01","12/26/2017 01:30:01","12/26/2017 07:30:01","12/26/2017 13:30:01","12/26/2017 19:30:01","12/27/2017 01:30:01","12/27/2017 07:30:01","12/27/2017 13:30:01","12/27/2017 19:30:01","12/28/2017 01:30:01","12/28/2017 07:30:01","12/28/2017 13:30:01","12/28/2017 19:30:01","12/29/2017 01:30:02","12/29/2017 07:30:01","12/29/2017 13:30:01","12/29/2017 19:30:01","12/30/2017 01:30:01","12/30/2017 07:30:01","12/30/2017 13:30:01","12/30/2017 19:30:01","12/31/2017 01:30:01","12/31/2017 07:30:01","12/31/2017 13:30:04","12/31/2017 19:30:02","01/01/2018 01:30:01","01/01/2018 07:30:01","01/01/2018 13:30:01","01/01/2018 19:30:01","01/02/2018 01:30:01","01/02/2018 07:30:01","01/02/2018 13:30:02","01/02/2018 19:30:01","01/03/2018 01:30:01","01/03/2018 07:30:01","01/03/2018 13:30:10","01/03/2018 19:30:01","01/04/2018 01:30:01","01/04/2018 07:30:01"
"BE04DW70003","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Offline","CTWIN overwritten","CTWIN overwritten","CTWIN overwritten","CTWIN overwritten","CTWIN overwritten","CTWIN overwritten","CTWIN overwritten","OK","OK","OK","OK","OK","OK","OK","CTWIN not running","OK","OK","OK","OK","OK","Out of memory ","Out of memory ","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"BE04DW70004","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Offline","Offline","Offline","CTWIN not running","CTWIN not running","CTWIN not running","CTWIN not running"
"BE04DW70005","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"BE04DW70006","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Offline","OK","OK","OK","OK","OK","CTWIN not running","CTWIN not running","CTWIN not running","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"BE04DW70007","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Not reachable.","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Not reachable.","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Not reachable","OK","OK","OK","OK"
"BE04DW70008","OK","OK","OK","OK","Offline","Offline","Offline","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","CTWIN overwritten","CTWIN overwritten","CTWIN overwritten","CTWIN overwritten","CTWIN overwritten","CTWIN overwritten","CTWIN overwritten","CTWIN overwritten","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"BE04DW70009","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"BE04DW70010","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Offline","Offline","Offline","Offline","Offline","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Not reachable","Offline","Not reachable"
"BE04DW70011","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","CTWIN not running","CTWIN not running","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","CTWIN overwritten","CTWIN overwritten","CTWIN overwritten","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"BE04DW70012","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","CTWIN overwritten","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
