"Terminal","Notification","12/06/2017 11:30:52","12/06/2017 12:01:14","12/06/2017 12:02:12","12/06/2017 12:08:30","12/06/2017 12:55:22"
"NL02DW70015","No ini file","No ini file","No ini file","No ini file","No ini file","No ini file"
"NL02DW70016","Offline","Offline","Offline","Offline","Offline","Offline"
"NL02DW70017","CTWIN overwritten","OK","OK","OK","OK","OK"
"NL02DW70019","Offline","Offline","Offline","Offline","Offline","Offline"
"NL02DW70021","CTWIN overwritten","OK","OK","OK","OK","OK"
"NL02DW70022","CTWIN overwritten","OK","OK","OK","OK","OK"
"NL02DW70023","OK","OK","OK","OK","OK","OK"
"NL02DW70024","Offline","Offline","Offline","Offline","Offline","Offline"
"NL02DW70026","","OK","OK","OK","OK","OK"
"NL02DW70027","Not reachable.","OK","OK","OK","OK","OK"
"NL02DW70028","Offline","Offline","Offline","Offline","Offline","Offline"
"NL02DW70029","OK","Not reachable.","Not reachable.","Not reachable.","Not reachable.","Not reachable."
"NL02DW70030","OK","OK","Not reachable.","Not reachable.","Not reachable.","Not reachable."
"NL02DW70037","Offline","Offline","Offline","Offline","Offline","Offline"
"NL02DW70038","Offline","Offline","Offline","Offline","Offline","Offline"
"NL02DW70039","Offline","Offline","Offline","Offline","Offline","Offline"
