"Terminal","02/28/2018 17:02:26","02/28/2018 17:03:26","02/28/2018 19:30:03","03/01/2018 01:30:02","03/01/2018 07:30:02","03/01/2018 13:30:02","03/01/2018 19:30:02","03/02/2018 01:30:03","03/02/2018 07:30:02","03/02/2018 13:30:02","03/02/2018 19:30:02","03/03/2018 01:30:02","03/03/2018 07:30:03","03/03/2018 13:30:02","03/03/2018 19:30:02","03/04/2018 01:30:02","03/04/2018 07:30:05","03/04/2018 13:30:03","03/04/2018 19:30:02","03/05/2018 01:30:03","03/05/2018 07:30:03","03/05/2018 13:30:03","03/05/2018 19:30:03","03/06/2018 01:30:03","03/06/2018 07:30:03","03/06/2018 13:30:03","03/06/2018 19:30:03","03/07/2018 01:30:03","03/07/2018 07:30:03","03/07/2018 13:30:03","03/07/2018 19:30:03","03/08/2018 07:30:03","03/08/2018 13:30:03","03/08/2018 19:30:03","03/09/2018 01:30:03","03/09/2018 07:30:03","03/09/2018 13:30:03","03/09/2018 19:30:08","03/10/2018 01:30:03","03/10/2018 07:30:03","03/10/2018 13:30:03","03/10/2018 19:30:03","03/11/2018 01:30:03","03/11/2018 07:30:02","03/11/2018 13:30:02","03/11/2018 19:30:03","03/12/2018 01:30:03","03/12/2018 07:30:03","03/12/2018 13:33:47","03/12/2018 19:30:03","03/13/2018 01:30:02","03/13/2018 07:30:02","03/13/2018 13:30:01","03/13/2018 19:30:01","03/14/2018 01:30:01","03/14/2018 07:30:01","03/14/2018 13:30:01","03/14/2018 19:30:02","03/15/2018 01:30:01","03/15/2018 07:30:01","03/15/2018 13:30:02","03/15/2018 19:30:01","03/16/2018 01:30:01","03/16/2018 07:30:01","03/16/2018 13:30:01","03/16/2018 19:30:01","03/17/2018 01:30:01","03/17/2018 07:30:01","03/17/2018 13:30:01","03/17/2018 19:30:01","03/18/2018 01:30:01","03/18/2018 07:30:02","03/18/2018 13:30:01","03/18/2018 19:30:01","03/19/2018 01:30:01","03/19/2018 07:30:01","03/19/2018 13:30:02","03/19/2018 19:30:01","03/20/2018 01:30:01","03/20/2018 07:30:02","03/20/2018 13:30:01","03/20/2018 19:30:02","03/21/2018 01:30:01","03/21/2018 07:30:02","03/21/2018 13:30:02","03/21/2018 19:30:02","03/22/2018 01:30:01","03/22/2018 07:30:01","03/22/2018 13:30:01","03/22/2018 19:30:01","03/23/2018 01:30:02","03/23/2018 07:30:01","03/23/2018 13:30:02","03/23/2018 19:30:01","03/24/2018 01:30:01","03/24/2018 07:30:01","03/24/2018 13:30:02","03/24/2018 19:30:01","03/25/2018 01:30:01","03/25/2018 07:30:02","03/25/2018 13:30:01","03/25/2018 19:30:01","03/26/2018 01:30:00","03/26/2018 07:30:01","03/26/2018 13:30:02","03/26/2018 19:30:01","03/27/2018 01:30:01","03/27/2018 07:30:01","03/27/2018 13:30:01","03/27/2018 19:30:01","03/28/2018 01:30:01","03/28/2018 07:30:01","03/28/2018 13:30:03","03/28/2018 19:30:01","03/29/2018 01:30:01","03/29/2018 07:30:01","03/29/2018 13:30:02","03/29/2018 19:30:01","03/30/2018 01:30:01","03/30/2018 07:30:01","03/30/2018 13:30:01","03/30/2018 19:30:01","03/31/2018 01:30:01","03/31/2018 07:30:01","03/31/2018 13:30:02","03/31/2018 19:30:01","04/01/2018 01:30:01","04/01/2018 07:30:01","04/01/2018 13:30:02","04/01/2018 19:30:01","04/02/2018 01:30:01","04/02/2018 07:30:01","04/02/2018 13:30:01","04/02/2018 19:30:01","04/03/2018 01:30:01","04/03/2018 07:30:01","04/03/2018 13:30:01","04/03/2018 19:30:02","04/04/2018 01:30:03","04/04/2018 07:30:01","04/04/2018 13:30:01","04/04/2018 19:30:02","04/05/2018 01:30:01","04/05/2018 07:30:02"
"BE04DW70003","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Not reachable","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"BE04DW70004","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","CTWIN not running","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Not reachable","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"BE04DW70005","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"BE04DW70006","Invalid class ""win32_process""","Invalid class ""win32_process""","Invalid class ""win32_process""","Invalid class ""win32_process""","Invalid class ""win32_process""","Invalid class ""win32_process""","Invalid class ""win32_process""","Invalid class ""win32_process""","Invalid class ""win32_process""","Invalid class ""win32_process""","Invalid class ""win32_process""","Invalid class ""win32_process""","Invalid class ""win32_process""","Invalid class ""win32_process""","Invalid class ""win32_process""","Invalid class ""win32_process""","Invalid class ""win32_process""","Invalid class ""win32_process""","Invalid class ""win32_process""","Invalid class ""win32_process""","Invalid class ""win32_process""","Invalid class ""win32_process""","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"BE04DW70007","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Not reachable","Not reachable","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Not reachable","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"BE04DW70008","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Offline","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Not reachable","Not reachable","Not reachable","Not reachable","Not reachable","Not reachable","Not reachable","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Out of memory ","OK","OK","OK","OK","OK","OK","OK","OK"
"BE04DW70009","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Not reachable","Not reachable","Not reachable","Not reachable","Not reachable","Not reachable","Not reachable","Not reachable","Not reachable","Not reachable","Not reachable","Not reachable","Not reachable","Not reachable","Not reachable","Not reachable","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"BE04DW70010","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","CTWIN overwritten","Not reachable","Not reachable","Not reachable","Not reachable","Not reachable","Not reachable","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Offline","Not reachable","OK","OK","OK","OK"
"BE04DW70011","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"BE04DW70012","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Not reachable","Not reachable","Offline","Offline","Offline","Not reachable","Offline","Offline","Offline","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Offline","Offline","Not reachable","Not reachable","Not reachable","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Not reachable","Offline","Not reachable","Not reachable","Not reachable","Not reachable","OK","OK","OK","OK"
